class_id,id,enrolled,capacity,message,timestamp
WINTER 2024 27102,98738,13,20,"",2023-11-21 00:00:00.000000
WINTER 2024 27110,98739,16,17,"",2023-11-21 00:00:00.000000
WINTER 2024 27128,98740,13,25,"",2023-11-21 00:00:00.000000
WINTER 2024 27136,98741,8,25,"",2023-11-21 00:00:00.000000
WINTER 2024 27144,98742,2,25,"",2023-11-21 00:00:00.000000
WINTER 2024 27151,98743,10,25,"",2023-11-21 00:00:00.000000
WINTER 2024 27169,98744,8,12,"",2023-11-21 00:00:00.000000
WINTER 2024 27177,98745,7,25,"",2023-11-21 00:00:00.000000
WINTER 2024 27185,98746,11,25,"",2023-11-21 00:00:00.000000
WINTER 2024 52373,98747,6,17,"",2023-11-21 00:00:00.000000
WINTER 2024 27193,98748,8,25,"",2023-11-21 00:00:00.000000
WINTER 2024 27201,98749,8,12,"",2023-11-21 00:00:00.000000
WINTER 2024 27219,98750,5,25,"",2023-11-21 00:00:00.000000
WINTER 2024 27227,98751,10,25,"",2023-11-21 00:00:00.000000
WINTER 2024 54395,98752,7,25,"",2023-11-21 00:00:00.000000
WINTER 2024 27235,98753,2,25,"",2023-11-21 00:00:00.000000
WINTER 2024 27243,98754,0,5,"",2023-11-21 00:00:00.000000
WINTER 2024 63305,98755,4,15,"",2023-11-21 00:00:00.000000
WINTER 2024 61879,98756,102,120,"",2023-11-21 00:00:00.000000
WINTER 2024 61853,98757,32,40,"",2023-11-21 00:00:00.000000
WINTER 2024 61861,98758,120,120,"",2023-11-21 00:00:00.000000
WINTER 2024 27300,98759,0,10,"",2023-11-21 00:00:00.000000
WINTER 2024 27318,98760,0,5,"",2023-11-21 00:00:00.000000
WINTER 2024 27326,98761,0,15,"",2023-11-21 00:00:00.000000
WINTER 2024 62828,98762,12,12,"",2023-11-21 00:00:00.000000
WINTER 2024 08383,98763,9,8,"",2023-11-21 00:00:00.000000
WINTER 2024 08391,98764,10,12,"",2023-11-21 00:00:00.000000
WINTER 2024 50732,98765,4,15,"",2023-11-21 00:00:00.000000
WINTER 2024 08409,98766,8,10,"",2023-11-21 00:00:00.000000
WINTER 2024 02303,98767,181,286,"",2023-11-21 00:00:00.000000
WINTER 2024 02360,98768,0,0,"",2023-11-21 00:00:00.000000
WINTER 2024 46482,98769,528,528,"",2023-11-21 00:00:00.000000
WINTER 2024 46649,98770,16,25,"",2023-11-21 00:00:00.000000
WINTER 2024 46664,98771,0,1,"",2023-11-21 00:00:00.000000
WINTER 2024 46698,98772,42,55,"",2023-11-21 00:00:00.000000
WINTER 2024 46748,98773,52,60,"",2023-11-21 00:00:00.000000
