acronym,name,major,college,prerequisite_text,enrollment_cnt,A_cnt,A_percentage,cardinality
ENGL 110T,Old English Literature in Translation,English - ENGL,letters_and_science,Writing 2 or upper-division standing.,,,,110
MUS 94,Freshman Audition,Music - MUS,letters_and_science,"",,,,94
ART 14,Lower-Division Print,Art - ART,letters_and_science,"",588,416,0.7074829931972789,14
ARTHI 187W,Coming Home: The House Museum as Cultural Encounter,Art History - ARTHI,letters_and_science,Upper-division standing.,69,44,0.6376811594202898,187
LATIN 138,Horace,Latin - LATIN,letters_and_science,Latin 102.,,,,138
COMM 1,Introduction to Communication,Communication - COMM,letters_and_science,"",14103,2949,0.20910444586258242,1
EARTH 98,Readings in Geological Sciences,Earth Science - EARTH,letters_and_science,Consent of instructor.,,,,98
ECON 194DG,Dean's Investment Group,Economics - ECON,letters_and_science,Upper-division standing; consent of instructor.,102,102,1,194
GREEK 199,Independent Studies In Greek.,Greek - GREEK,letters_and_science,Consent of instructor and department chair; upper-division standing; completion of 2 upper-division courses in Greek.,,,,199
HIST 8,Introduction to History of Latin America,History - HIST,letters_and_science,"",4437,1266,0.28532792427315756,8
ITAL 99RA,Independent Research,Italian - ITAL,letters_and_science,Italian 3 or equivalent with a grade of a minimum grade of B.,,,,99
JAPAN 99RA,Independent Research Assistance in Japanese,Japanese - JAPAN,letters_and_science,minimum 3.0 cumulative GPA,,,,99
JAPAN 198,Readings in Japanese,Japanese - JAPAN,letters_and_science,Upper-division standing; completion of 2 upper-division courses in Japaneseconsent of instructor.,,,,198
LAIS 199,Independent Studies,Latin American and Iberian Studies - LAIS,letters_and_science,Upper-division standing; completion of 2 upper-division courses in LAIS.,,,,199
MCDB 194CE,C. Elegans Development and Behavior,"Molecular, Cellular & Develop. Biology - MCDB",letters_and_science,Upper-division standing and consent of instructor.,,,,194
MCDB 194RF,Plant Development Genetics,"Molecular, Cellular & Develop. Biology - MCDB",letters_and_science,Upper-division standing and consent of instructor.,,,,194
MUS 28D,Intermediate Tuba,Music - MUS,letters_and_science,By audition. Consent of instructor and department.,,,,28
MUS 32E,Secondary Piano,Music - MUS,letters_and_science,Placement by audition.,,,,32
MUS 35B,Piano Accompanying,Music - MUS,letters_and_science,"Music 33 (may be taken concurrently); or, piano and accompanying emphasis majors only; and, consent of instructor.",,,,35
MUS 197B,Senior Composition Portfolio and Recital,Music - MUS,letters_and_science,"Passing of junior composition portfolio; and, consent of instructor; open tsenior BM Composition emphasis majors only.",,,,197
