id,acronym,first_name,last_name,department,difficulty,rating,take_again_percentage,tags,reviews_cnt,img_url
VGVhY2hlci0xMzk2,,Harold,Drake,History,3.8,3.7,-1,"",74,
VGVhY2hlci03NTEz,,Lisa,Maass,Economics,2.4,4.6,90,"{Caring,Tough grader,Clear grading criteria,Skip class? You won't pass.,Amazing lectures ,Gives good feedback,Respected,Test heavy,Get ready to read,Would take again,Lots of homework,Hilarious,Accessible outside class}",61,
VGVhY2hlci0xMTE0NQ==,,Aaron,Belkin,Political Science,3.1,4.2,100,"{Amazing lectures ,Inspirational,Lecture heavy}",89,
VGVhY2hlci0yMTk4NjA5,,John,Robertson,Linguistics,3.1,3.6,83,"{Participation matters,Gives good feedback,Tough grader,Respected,Group projects,Clear grading criteria,Inspirational,Lots of homework,So many papers,Caring,Lecture heavy}",7,https://www.ems.ucsb.edu/sites/default/files/styles/max_1300x1300/public/2023-08/Robertson.jpg.jpeg?itok=kNPaUx5O
VGVhY2hlci0yMTExMzkz,,Adam,Sabra,History,3.8,3.5,50,"{Get ready to read,Lecture heavy,Graded by few things,Tough grader,Gives good feedback,Participation matters,Skip class? You won't pass.,Lots of homework}",8,https://www.history.ucsb.edu/wp-content/uploads/Sabra021-e1446086494918.jpg
VGVhY2hlci0xMTE0Ng==,,Monica,Orozco,History,3.5,2.5,-1,"",32,
VGVhY2hlci03MjMxMg==,,Chikako,Shinagawa,Languages,2,5,100,"{Gives good feedback,Hilarious,Caring,Participation matters,Lots of homework,Skip class? You won't pass.,Amazing lectures ,Respected,Accessible outside class}",37,https://www.eastasian.ucsb.edu/wp-content/uploads/shinagawa-b.png
VGVhY2hlci03MjMzNQ==,,John,Nathan,International Studies,2.5,3.4,80,"{Get ready to read,Respected,Participation matters,Skip class? You won't pass.,Gives good feedback,Inspirational,Hilarious,Caring,Graded by few things,Accessible outside class}",27,https://www.eastasian.ucsb.edu/wp-content/uploads/nathan-e1381872654140.png
VGVhY2hlci01NDY4Nw==,SPICKARD P R,Paul,Spickard,History,3.1,4.1,71,"{Get ready to read,Inspirational,Hilarious,Respected,Caring,Amazing lectures ,Participation matters,Tough grader,Skip class? You won't pass.,Gives good feedback,Lots of homework,Lecture heavy,Accessible outside class,Clear grading criteria,So many papers,Graded by few things}",91,https://www.history.ucsb.edu/wp-content/uploads/Paul-Color.jpg
VGVhY2hlci05NzM0Ng==,RAPPAPORT E D,Erika,Rappaport,History,2.6,4.3,78,"{Get ready to read,EXTRA CREDIT,Caring,Respected,So many papers,Accessible outside class,Amazing lectures ,Clear grading criteria,Gives good feedback,Graded by few things,Tough grader,Participation matters,Lots of homework,Skip class? You won't pass.,Would take again,Lecture heavy,Test heavy}",51,https://www.history.ucsb.edu/wp-content/uploads/67F683ED-790A-45A4-9C2F-2EB1BFE7F27F_1_105_c.jpeg
VGVhY2hlci0yMjI3MDY4,SWENSON J S,Julie,Swenson,Statistics,3.3,4.5,91,"{Accessible outside class,Caring,Clear grading criteria,Amazing lectures ,Skip class? You won't pass.,Gives good feedback,Test heavy,Respected,Lecture heavy,Get ready to read,Inspirational,Graded by few things,Tough grader,Lots of homework,Tests are tough,Online Savvy}",75,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcE-UQwoVg-6ZptVrvAxKV_ix0hcASC3FHdb4zjU6-8A&s
VGVhY2hlci0xNTM1MzE0,,David,Novak,Music,4,1.9,50,"{Get ready to read,Skip class? You won't pass.,Participation matters,Group projects,Tough grader,Amazing lectures ,Lots of homework,Lecture heavy}",11,https://music.ucsb.edu/sites/default/files/styles/people_square/public/people/david%20novak.jpeg?itok=phHUqodG
VGVhY2hlci0xNDA2MDIy,,Helen,Morales,Classics,2.5,4.8,91,"{Amazing lectures ,Clear grading criteria,Get ready to read,Hilarious,Respected,Lecture heavy,Skip class? You won't pass.,Gives good feedback,Caring,Graded by few things,Participation matters,Would take again,Inspirational,Lots of homework,Tough grader,Tests? Not many,So many papers,Accessible outside class,Online Savvy}",64,https://www.femst.ucsb.edu/sites/default/files/styles/people_node/public/people/photo/morales2.png?itok=2bBbkq8k
