class_id,instructor_id
00026,VGVhY2hlci0xNzk4Njgx
59675,VGVhY2hlci0yNTYyNDAy
60087,VGVhY2hlci0yNjkyNTIy
60129,VGVhY2hlci0yNjEyNDA5
60095,VGVhY2hlci0xNTUwNDcz
60053,VGVhY2hlci0yNTc4NjAw
60079,VGVhY2hlci0zNjIxNDU=
00505,VGVhY2hlci01OTEzOTM=
00539,VGVhY2hlci0xNTUwNDcz
00802,VGVhY2hlci01NjgyOTc=
00950,VGVhY2hlci05MTQ1MTA=
01180,VGVhY2hlci0xNjkyNTEz
56861,VGVhY2hlci0xNDUxNTYy
56879,VGVhY2hlci04OTU2MjM=
00992,VGVhY2hlci05MTQ1MTA=
56895,VGVhY2hlci01OTQwNDA=
01032,VGVhY2hlci02ODc0MDc=
01057,VGVhY2hlci0yMTA1NTk2
01081,VGVhY2hlci0xNDUxNTYy
01248,VGVhY2hlci0xNjkyNTEz
01404,VGVhY2hlci0zNTEyMjA=
50187,VGVhY2hlci0zNTUxMzc=
01602,VGVhY2hlci04OTU2MjM=
50245,VGVhY2hlci00OTAzMQ==
50401,VGVhY2hlci0yMDQ0MzAw
50484,VGVhY2hlci0yMTA3MjM2
50583,VGVhY2hlci0yMTA3MjM2
50591,VGVhY2hlci01NzA5MjA=
50765,VGVhY2hlci00OTAzMQ==
62182,VGVhY2hlci0zOTU4OTA=
01677,VGVhY2hlci04OTU2MjM=
01693,VGVhY2hlci00NjMxNDU=
50781,VGVhY2hlci01ODYzNDU=
50799,VGVhY2hlci01ODYzNDU=
50807,VGVhY2hlci00NjMxNDU=
55863,VGVhY2hlci0zOTU2NTc=
01800,VGVhY2hlci0zNTEyMjA=
01818,VGVhY2hlci0zNTEyMjA=
60426,VGVhY2hlci0yMTc0MTk3
01941,VGVhY2hlci05MDY5ODE=
02048,VGVhY2hlci0yMzg0OTc=
02139,VGVhY2hlci0xNTUzNzc3
60517,VGVhY2hlci05MDY5ODE=
60541,VGVhY2hlci0yMDgwMjE=
60566,VGVhY2hlci0yMDgwMjE=
02204,VGVhY2hlci0xMjUyNTMx
61077,VGVhY2hlci0yNzAxNjEw
02303,VGVhY2hlci03MzYwMA==
02469,VGVhY2hlci0xMjU0ODA3
02477,VGVhY2hlci0xMjU0ODA3
02485,VGVhY2hlci0zNDY2NzI=
02493,VGVhY2hlci0zNDY2NzI=
02576,VGVhY2hlci02MzgxMDM=
59915,VGVhY2hlci00MDM4ODA=
02659,VGVhY2hlci03NjI2ODc=
59956,VGVhY2hlci0yNTU4MzQy
59972,VGVhY2hlci03NjI2ODc=
59980,VGVhY2hlci0yNjA1NzQx
60202,VGVhY2hlci0yNDY5MDE0
60228,VGVhY2hlci00MDM4ODA=
59964,VGVhY2hlci0yNTU4MzQy
03681,VGVhY2hlci0yMDk3MDYy
03707,VGVhY2hlci0xMDQwNTk4
