course_acronym,prerequisite_acronym,is_strong,is_same_major
ANTH 112Z,ANTH 3,false,true
ANTH 112Z,ANTH 3S,false,true
ANTH 112Z,ANTH 100,false,true
ANTH 123,ANTH 5,true,true
ANTH 123,ANTH 153T,true,true
ANTH 150,ANTH 5,false,true
ANTH 150,ANTH 7,false,true
ANTH 150,ANTH 9,false,true
ANTH 162,ANTH 3,false,true
ANTH 162,ANTH 3S,false,true
ANTH 170,ANTH 5,false,true
ANTH 180B,ANTH 180A,false,true
ANTH 182,ANTH 3,false,true
ANTH 182,ANTH 3S,false,true
ANTH 182,ANTH 100,false,true
ANTH 182M,ANTH 3,false,true
ANTH 182M,ANTH 3S,false,true
ANTH 182M,ANTH 100,false,true
ANTH 194,ANTH 3,false,true
ANTH 194,ANTH 3S,false,true
ANTH 194,ANTH 100,false,true
ANTH 194P,ANTH 100,false,true
ANTH 195B,ANTH 195A,false,true
ANTH 198,Anthropology - ANTH 2,false,false
ANTH 199,Anthropology - ANTH 2,false,false
ANTH 199RA,Anthropology - ANTH 2,false,false
ART 100,ART 10,false,true
ANTH 125,ANTH 2,false,true
ART 100,ART 1A,false,true
ART 100,ART 7B,false,true
ART 101,ART 10100,false,true
ART 101,ART 1A,false,true
ART 101,ART 7B,false,true
ART 105PP,ART 12,false,true
ART 105PP,ART 1A,false,true
ART 105PP,ART 7C,false,true
ART 111PP,ART 7B,false,true
ART 117,ART 18,false,true
ART 117,ART 1A,false,true
ART 117,ART 7B,false,true
ART 132,ART 32,false,true
ART 132,ART 1A,false,true
ART 132,ART 7A,false,true
ART 189B,Art - ART 7D,true,false
AS AM 160,POL S 12,false,false
AS AM 160,AS AM 1,false,true
AS AM 160,AS AM 2,false,true
AS AM 197,Asian American Studies - AS AM 1,false,false
AS AM 199,AS AM 2,true,true
ASTRO 1H,ASTRO 1,false,true
BL ST 99,BL ST 1,false,true
BL ST 99,BL ST 3,false,true
BL ST 99,BL ST 4,false,true
BL ST 99,BL ST 7,false,true
BL ST 199,Black Studies - BL ST 2,false,false
BL ST 199RA,Black Studies - BL ST 2,false,false
CH E 107,CH E 10,false,true
CH E 110A,CH E 5,false,true
CH E 110A,CH E 10,false,true
CH E 110A,MAT 4B,false,false
CH E 120B,CH E 10,false,true
CH E 120B,CH E 110A,false,true
CH E 120B,CH E 120A,false,true
CH E 132C,MAT 4B,false,false
CH E 132C,MAT 6A,false,false
CH E 132C,MAT 6B,false,false
CH E 152B,CH E 152A,false,true
CH E 160,CH E 110A,false,true
CH E 160,CHEM 113A,false,false
CH E 180B,CH E 120C,true,true
CH E 180B,CH E 128,true,true
CH E 180B,CH E 140A,true,true
CH E 180B,CH E 152A,true,true
CH E 184A,CH E 110A,true,true
CH E 184A,CH E 110B,true,true
CH E 184A,CH E 120A,true,true
CH E 184A,CH E 120B,true,true
CH E 184A,CH E 120C,true,true
CH E 184A,CH E 128,true,true
CH E 184A,CH E 132B,true,true
CH E 184A,CH E 140A,true,true
CH E 184A,CH E 140B,true,true
CH E 184A,CH E 152A,true,true
CH E 198,Chemical Engineering - CH E 2,false,false
CHEM CS 11B,CHEM 1A,false,false
CHEM CS 11B,CHEM 2A,false,false
CHEM CS 110,CHEM 1A,false,false
CHEM CS 110,CHEM 1B,false,false
CHEM CS 110,CHEM 2A,false,false
CHEM CS 110,CHEM 2B,false,false
CHEM CS 110,CHEM 1C,false,false
CHEM CS 110,CHEM 2C,false,false
CHEM 1AL,CHEM 1A,false,true
CHEM 1AL,CHEM 2A,false,true
CHEM 1B,CHEM 1A,false,true
CHEM 1B,CHEM 2A,false,true
CHEM 1BL,CHEM 1A,false,true
CHEM 1BL,CHEM 2A,false,true
CHEM 1BL,CHEM 1B,false,true
CHEM 1BL,CHEM 2B,false,true
CHEM 2B,CHEM 2A,false,true
CHEM 2B,CHEM 1A,false,true
CHEM 2BC,CHEM 2A,false,true
CHEM 2BC,CHEM 1A,false,true
CHEM 2BC,CHEM 2B,false,true
CHEM 6AL,CHEM 1A,false,true
CHEM 6AL,CHEM 2A,false,true
CHEM 6AL,CHEM 1B,false,true
CHEM 6AL,CHEM 2B,false,true
CHEM 6AL,CHEM 1C,false,true
CHEM 6AL,CHEM 2C,false,true
CHEM 6AL,CHEM 109A,false,true
CHEM 6AL,CHEM 109B,false,true
CHEM 6BH,CHEM 6A,false,true
CHEM 6BH,CHEM 109A,false,true
CHEM 6BH,CHEM 109B,false,true
CHEM 6BL,CHEM 6A,false,true
CHEM 6BL,CHEM 109A,false,true
CHEM 6BL,CHEM 109B,false,true
CHEM 6CH,CHEM 6B,false,true
CHEM 6CH,CHEM 109B,false,true
CHEM 6CH,CHEM 109C,false,true
CHEM 109A,CHEM 1C,false,true
CHEM 109A,CHEM 2C,false,true
CHEM 109A,CHEM 1B,false,true
CHEM 109A,CHEM 2B,false,true
CHEM 109B,CHEM 109A,false,true
CHEM 109BH,CHEM 109A,false,true
CHEM 110,CHEM 1A,false,true
CHEM 110,CHEM 1B,false,true
CHEM 110,CHEM 2A,false,true
CHEM 110,CHEM 2B,false,true
CHEM 110,CHEM 1C,false,true
CHEM 110,CHEM 2C,false,true
CHEM 112B,CHEM 112A,false,true
CHEM 112B,CHEM 142A,false,true
