id,enrollment_code,class_id,days,time,location
WINTER 2022 00026,00026,WINTER 2022 00026,1000000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",HSSB 1231
WINTER 2022 52720,52720,WINTER 2022 00026,1000000,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",SH 1609
WINTER 2022 52738,52738,WINTER 2022 00026,1000000,"(""1900-01-01 14:00:00"",""1900-01-01 14:50:00"")",PHELP2532
WINTER 2022 52746,52746,WINTER 2022 00026,1000000,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",387 1015
WINTER 2022 52753,52753,WINTER 2022 00026,0100000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",HSSB 2251
WINTER 2022 52761,52761,WINTER 2022 00026,0000100,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",BUCHN1934
WINTER 2022 52779,52779,WINTER 2022 00026,0100000,"(""1900-01-01 12:00:00"",""1900-01-01 12:50:00"")",GIRV 1119
WINTER 2022 52787,52787,WINTER 2022 00026,0000100,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",HSSB 1207
WINTER 2022 52795,52795,WINTER 2022 00026,0010000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",GIRV 2115
WINTER 2022 52803,52803,WINTER 2022 00026,0010000,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",PHELP2524
WINTER 2022 52811,52811,WINTER 2022 00026,0000100,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",HSSB 1207
WINTER 2022 52829,52829,WINTER 2022 00026,0000100,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",HSSB 1211
WINTER 2022 52837,52837,WINTER 2022 00026,0000100,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",HSSB 1214
WINTER 2022 52845,52845,WINTER 2022 00026,0000100,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",HSSB 1214
WINTER 2022 52852,52852,WINTER 2022 00026,0000100,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",HSSB 1224
WINTER 2022 52860,52860,WINTER 2022 00026,0000100,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",HSSB 1224
WINTER 2022 52878,52878,WINTER 2022 00026,0000100,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",HSSB 1236
WINTER 2022 52886,52886,WINTER 2022 00026,0000100,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",GIRV 2127
WINTER 2022 52894,52894,WINTER 2022 00026,0000100,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",PHELP1508
WINTER 2022 00257,00257,WINTER 2022 00257,0000100,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",HSSB 1223
WINTER 2022 00265,00265,WINTER 2022 00257,0000100,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",HSSB 1228
WINTER 2022 00273,00273,WINTER 2022 00257,1000000,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",GIRV 2127
WINTER 2022 00281,00281,WINTER 2022 00257,0010000,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",ARTS 1353
WINTER 2022 00299,00299,WINTER 2022 00257,0010000,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",GIRV 1112
WINTER 2022 00307,00307,WINTER 2022 00257,0000100,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",HSSB 1228
WINTER 2022 00315,00315,WINTER 2022 00257,1000000,"(""1900-01-01 14:00:00"",""1900-01-01 14:50:00"")",KERR 2166A
WINTER 2022 00323,00323,WINTER 2022 00257,0000100,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",HSSB 1231
WINTER 2022 00331,00331,WINTER 2022 00257,0000100,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",HSSB 1231
WINTER 2022 00349,00349,WINTER 2022 00257,0000100,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",HSSB 1232
WINTER 2022 00356,00356,WINTER 2022 00257,0001000,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",TD-W 2600
WINTER 2022 00364,00364,WINTER 2022 00257,1000000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",HSSB 1232
WINTER 2022 00372,00372,WINTER 2022 00257,0000100,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",GIRV 1119
WINTER 2022 00398,00398,WINTER 2022 00398,0001000,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",ARTS 1353
WINTER 2022 00406,00406,WINTER 2022 00398,1000000,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",GIRV 2116
WINTER 2022 00414,00414,WINTER 2022 00398,0000100,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",GIRV 2123
WINTER 2022 00422,00422,WINTER 2022 00398,0100000,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",GIRV 1112
