section_id,id,enrolled,capacity,message,timestamp
WINTER 2022 00026,1,24,25,"",2023-12-29 23:57:14.518017
WINTER 2022 52720,2,25,25,Full,2023-12-29 23:57:14.518017
WINTER 2022 52738,3,25,25,Full,2023-12-29 23:57:14.518017
WINTER 2022 52746,4,22,25,"",2023-12-29 23:57:14.518017
WINTER 2022 52753,5,25,25,Full,2023-12-29 23:57:14.518017
WINTER 2022 52761,6,20,25,"",2023-12-29 23:57:14.518017
WINTER 2022 52779,7,26,25,Full,2023-12-29 23:57:14.518017
WINTER 2022 52787,8,24,25,"",2023-12-29 23:57:14.518017
WINTER 2022 52795,9,25,25,Full,2023-12-29 23:57:14.518017
WINTER 2022 52803,10,25,25,Full,2023-12-29 23:57:14.518017
WINTER 2022 52811,11,23,25,"",2023-12-29 23:57:14.518017
WINTER 2022 52829,12,22,25,"",2023-12-29 23:57:14.518017
WINTER 2022 52837,13,23,25,"",2023-12-29 23:57:14.518017
WINTER 2022 52845,14,23,25,"",2023-12-29 23:57:14.518017
WINTER 2022 52852,15,25,25,Full,2023-12-29 23:57:14.518017
WINTER 2022 52860,16,23,25,"",2023-12-29 23:57:14.518017
WINTER 2022 52878,17,25,25,Full,2023-12-29 23:57:14.518017
WINTER 2022 52886,18,21,25,"",2023-12-29 23:57:14.518017
WINTER 2022 52894,19,24,25,"",2023-12-29 23:57:14.518017
WINTER 2022 00257,20,14,25,"",2023-12-29 23:57:14.518017
WINTER 2022 00265,21,17,25,"",2023-12-29 23:57:14.518017
WINTER 2022 00273,22,21,25,"",2023-12-29 23:57:14.518017
WINTER 2022 00281,23,25,25,Full,2023-12-29 23:57:14.518017
WINTER 2022 00299,24,22,25,"",2023-12-29 23:57:14.518017
WINTER 2022 00307,25,20,25,"",2023-12-29 23:57:14.518017
WINTER 2022 00315,26,21,25,"",2023-12-29 23:57:14.518017
WINTER 2022 00323,27,12,25,"",2023-12-29 23:57:14.518017
WINTER 2022 00331,28,20,25,"",2023-12-29 23:57:14.518017
WINTER 2022 00349,29,15,25,"",2023-12-29 23:57:14.518017
WINTER 2022 00356,30,22,25,"",2023-12-29 23:57:14.518017
WINTER 2022 00364,31,20,25,"",2023-12-29 23:57:14.518017
WINTER 2022 00372,32,22,25,"",2023-12-29 23:57:14.518017
WINTER 2022 00398,33,0,25,Cancelled,2023-12-29 23:57:14.518017
WINTER 2022 00406,34,0,25,Cancelled,2023-12-29 23:57:14.518017
WINTER 2022 00414,35,0,25,Cancelled,2023-12-29 23:57:14.518017
WINTER 2022 00422,36,0,25,Cancelled,2023-12-29 23:57:14.518017
WINTER 2022 00448,37,0,25,Cancelled,2023-12-29 23:57:14.518017
WINTER 2022 00810,38,23,25,"",2023-12-29 23:57:14.518017
WINTER 2022 00828,39,25,25,Full,2023-12-29 23:57:14.518017
WINTER 2022 00836,40,23,25,"",2023-12-29 23:57:14.518017
WINTER 2022 00844,41,25,25,Full,2023-12-29 23:57:14.518017
WINTER 2022 00869,42,23,25,"",2023-12-29 23:57:14.518017
WINTER 2022 00877,43,22,25,"",2023-12-29 23:57:14.518017
WINTER 2022 00885,44,23,25,"",2023-12-29 23:57:14.518017
WINTER 2022 00901,45,23,25,"",2023-12-29 23:57:14.518017
WINTER 2022 00919,46,24,25,"",2023-12-29 23:57:14.518017
WINTER 2022 00927,47,22,25,"",2023-12-29 23:57:14.518017
WINTER 2022 00935,48,16,25,"",2023-12-29 23:57:14.518017
WINTER 2022 59519,49,23,24,"",2023-12-29 23:57:14.518017
WINTER 2022 59527,50,22,24,"",2023-12-29 23:57:14.518017
WINTER 2022 59535,51,25,24,Full,2023-12-29 23:57:14.518017
WINTER 2022 59543,52,24,24,Full,2023-12-29 23:57:14.518017
WINTER 2022 59394,53,24,24,Full,2023-12-29 23:57:14.518017
WINTER 2022 59402,54,16,24,"",2023-12-29 23:57:14.518017
WINTER 2022 59410,55,18,24,"",2023-12-29 23:57:14.518017
WINTER 2022 59428,56,18,24,"",2023-12-29 23:57:14.518017
WINTER 2022 59618,57,25,24,Full,2023-12-29 23:57:14.518017
WINTER 2022 59626,58,23,24,"",2023-12-29 23:57:14.518017
WINTER 2022 59634,59,25,24,Full,2023-12-29 23:57:14.518017
WINTER 2022 59642,60,21,24,"",2023-12-29 23:57:14.518017
WINTER 2022 59444,61,23,24,"",2023-12-29 23:57:14.518017
WINTER 2022 59451,62,22,24,"",2023-12-29 23:57:14.518017
WINTER 2022 59469,63,22,24,"",2023-12-29 23:57:14.518017
WINTER 2022 59477,64,25,24,Full,2023-12-29 23:57:14.518017
WINTER 2022 59485,65,25,24,Full,2023-12-29 23:57:14.518017
WINTER 2022 59493,66,23,24,"",2023-12-29 23:57:14.518017
WINTER 2022 59568,67,21,24,"",2023-12-29 23:57:14.518017
WINTER 2022 59576,68,24,24,Full,2023-12-29 23:57:14.518017
WINTER 2022 59584,69,21,24,"",2023-12-29 23:57:14.518017
WINTER 2022 59592,70,23,24,"",2023-12-29 23:57:14.518017
WINTER 2022 02089,71,23,23,Full,2023-12-29 23:57:14.518017
WINTER 2022 02097,72,20,23,"",2023-12-29 23:57:14.518017
WINTER 2022 02105,73,23,23,Full,2023-12-29 23:57:14.518017
WINTER 2022 02113,74,22,23,"",2023-12-29 23:57:14.518017
WINTER 2022 02121,75,22,23,"",2023-12-29 23:57:14.518017
WINTER 2022 02139,76,22,23,"",2023-12-29 23:57:14.518017
WINTER 2022 02147,77,22,23,"",2023-12-29 23:57:14.518017
WINTER 2022 02154,78,22,23,"",2023-12-29 23:57:14.518017
WINTER 2022 02162,79,21,22,"",2023-12-29 23:57:14.518017
WINTER 2022 02253,80,21,23,"",2023-12-29 23:57:14.518017
WINTER 2022 02261,81,22,23,"",2023-12-29 23:57:14.518017
WINTER 2022 02279,82,23,23,Full,2023-12-29 23:57:14.518017
WINTER 2022 02311,83,21,23,"",2023-12-29 23:57:14.518017
WINTER 2022 02329,84,22,23,"",2023-12-29 23:57:14.518017
WINTER 2022 02337,85,24,23,Full,2023-12-29 23:57:14.518017
WINTER 2022 52084,86,24,23,Full,2023-12-29 23:57:14.518017
WINTER 2022 52076,87,23,23,Full,2023-12-29 23:57:14.518017
WINTER 2022 52092,88,22,22,Full,2023-12-29 23:57:14.518017
WINTER 2022 52134,89,21,23,"",2023-12-29 23:57:14.518017
WINTER 2022 52142,90,21,23,"",2023-12-29 23:57:14.518017
WINTER 2022 52159,91,18,23,"",2023-12-29 23:57:14.518017
WINTER 2022 52167,92,25,23,Full,2023-12-29 23:57:14.518017
WINTER 2022 52175,93,22,23,"",2023-12-29 23:57:14.518017
WINTER 2022 52183,94,22,23,"",2023-12-29 23:57:14.518017
WINTER 2022 52191,95,21,23,"",2023-12-29 23:57:14.518017
WINTER 2022 52209,96,19,23,"",2023-12-29 23:57:14.518017
WINTER 2022 52217,97,19,22,"",2023-12-29 23:57:14.518017
WINTER 2022 02477,98,9,10,"",2023-12-29 23:57:14.518017
WINTER 2022 02485,99,6,10,"",2023-12-29 23:57:14.518017
WINTER 2022 02493,100,10,10,Full,2023-12-29 23:57:14.518017
WINTER 2022 02501,101,10,10,Full,2023-12-29 23:57:14.518017
WINTER 2022 02519,102,9,10,"",2023-12-29 23:57:14.518017
WINTER 2022 02527,103,10,10,Full,2023-12-29 23:57:14.518017
WINTER 2022 02600,104,19,30,"",2023-12-29 23:57:14.518017
WINTER 2022 02618,105,0,0,Cancelled,2023-12-29 23:57:14.518017
WINTER 2022 02626,106,0,0,Cancelled,2023-12-29 23:57:14.518017
WINTER 2022 02634,107,34,42,"",2023-12-29 23:57:14.518017
WINTER 2022 02642,108,37,42,"",2023-12-29 23:57:14.518017
WINTER 2022 02659,109,46,48,"",2023-12-29 23:57:14.518017
